Product A,Product B,Cosine Similarity
Command Decorate Clip Value Pack 40 Clips 48 Strips,Command White Wire Hooks 2 Pack,0.6309559359349469
Tesco Blue Balloons 15Pk,Tesco Silver Balloons 10 Pack,0.6303288600536984
Tesco Pink Balloons 15Pk,Tesco Silver Balloons 10 Pack,0.6296635135129987
Tesco Age 40 Balloons 6 Pack,Tesco Purple Balloons 15Pk,0.6294111584282461
Tesco Age 18 Balloons 6 Pack,Tesco Purple Balloons 15Pk,0.6294111584282461
Tesco Neon Balloons 10 Pack,Tesco Purple Balloons 15Pk,0.6286578931475317
Tesco Age 21 Balloons 6 Pack,Tesco Blue Balloons 15Pk,0.6282640082892712
Tesco Carded Ice Air Freshener,Tesco Carded Ocean Air Freshener,0.6277186804012057
Tesco Neon Balloons 10 Pack,Tesco Blue Balloons 15Pk,0.627660486606251
Tesco Age 21 Balloons 6 Pack,Tesco Pink Balloons 15Pk,0.6276008413123921
Tesco Age 30 Balloons 6 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6274936543964138
Aromatherapy Ventis Bottle Cherry Air Freshener,Tesco Carded New Car Air Freshener,0.6270396732013344
Tesco Neon Balloons 10 Pack,Tesco Pink Balloons 15Pk,0.6269979566794732
Tesco Blue Balloons 15Pk,Tesco Star Balloon 10 Pack,0.6269337960233818
Tesco Pink Balloons 15Pk,Tesco Star Balloon 10 Pack,0.6262720331582067
Tesco Age 40 Balloons 6 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6257892872032167
Tesco Age 18 Balloons 6 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6257892872032167
Tesco Age 21 Balloons 6 Pack,Tesco Purple Balloons 15Pk,0.6252831136126608
Tesco Blue Balloons 15Pk,Tesco Happy B Day Balloons Pink 10 Pack,0.6232854072330691
Tesco Star Balloon 10 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6232233232562564
Tesco Pearlised Black Balloons 10 Pack,Tesco Happy B Day Balloons Pink 10 Pack,0.6229766097936638
Tesco 4 Inch Roller,"Tesco Loss Free Brush 1""",0.622898600826486
Skinny Tan Moisture Mousse Express 150Ml,Skinny Tan Coconut Water Tanning Mist 150Ml,0.6227379483986906
Tesco Pink Balloons 15Pk,Tesco Happy B Day Balloons Pink 10 Pack,0.6226274954415392
Tesco Age 21 Balloons 6 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6216849967277523
Redex 10W-40 Part Synthetic 2L,Redex 5W-30 Peugeot & Citroen 2L,0.6212899213390217
Tesco Purple Balloons 15Pk,Tesco Happy B Day Balloons Pink 10 Pack,0.6203281342906175
Tesco Purple Balloons 15Pk,Tesco Star Balloon 10 Pack,0.6199745952038704
Tesco Blue Balloons 15Pk,Tesco Birthday Girl Balloons 10 Pack,0.6160068469143715
Tesco Birthday Girl Balloons 10 Pack,Tesco Pearlised Black Balloons 10 Pack,0.6157016555288904
Tesco Pink Balloons 15Pk,Tesco Birthday Girl Balloons 10 Pack,0.6153566180408168
Tesco Purple Balloons 15Pk,Tesco Birthday Girl Balloons 10 Pack,0.6130841082145648
Command Matte Hook,Command White Wire Hooks 2 Pack,0.6105576072798276
Master Lock 40Mm Padlock Hardend Steel Shackle,Master Lock Weatherproof Padlock,0.6081017350484299
Command Coat Hanger Assorted,Command White Wire Hooks 2 Pack,0.6066427423320608
Aromatherapy Car Air Freshener Llama,Tesco Carded Ocean Air Freshener,0.5982289093540272
Aromatherapy Car Air Freshener Llama,Tesco Carded Fresh Linen Air Freshener,0.5954750197263373
Redex 10W-40 Part Synthetic 2L,Redex 5W-30 Vw 2L,0.5941534738731452
Tesco Superhero Masks 6 Pack,T.Tiaras 6 Pack,0.5909930850332784
Aromatherapy Ventis Bottle Cherry Air Freshener,Tesco Carded Fresh Linen Air Freshener,0.575725304729954
Command Picture Hanging Small Value Pack 12 Sets,Command White Wire Hooks 2 Pack,0.5756879985487615
Command Picture Hanging Small Value Pack 12 Sets,Command Small Hooks Value Pack 6 Pc,0.5743228489940593
Yankee Candle Clean Cotton Car Jar Car Air Freshener,Yankee Candle Clean Cotton Car Air Freshener,0.5735082901229758
T.Tiaras 6 Pack,Tesco Unicorn Scratch Mask 6 Pack,0.5671684953610231
Master Lock 30Mm Solid Aluminium Padlock,Master Lock Weatherproof Padlock,0.5659431342241931
Tesco Mix It Up Game,Tesco Snakes & Ladders Travel Game,0.5627533659918794
Unibond Bathroom Sealant Clear 300Ml,Unibond Sealant Re-New,0.5618904754299561
Scentos Scented Markers,Scentos On The Go Activity Bags,0.5604311981980952
Tesco Age 30 Balloons 6 Pack,Talking Tables Confetti Ballons Gold,0.558815315180467
Tesco 5W40 Fully Synthetic Oil 2L,Tesco 5W30 Fully Synthetic Oil Ford 2L,0.5585927616145449
Talking Tables Confetti Ballons Gold,Tesco Star Balloon 10 Pack,0.5583964312957906
Aromatherapy Car Air Freshener Unicorn,Tesco Carded Ice Air Freshener,0.5558354836844378
Tesco 5W30 Fully Synthetic Oil Ford 2L,Tesco 5W30 F. Synthetic Oil Bmw/Vx/Mb 2L,0.554505234035667
Tesco Heart Balloons 10 Pack,Talking Tables Confetti Ballons Gold,0.553574853874717
Tesco Age 40 Balloons 6 Pack,Talking Tables Confetti Ballons Gold,0.5500296503547694
Tesco Age 18 Balloons 6 Pack,Talking Tables Confetti Ballons Gold,0.5500296503547694
Tesco Crystal Balloons 10 Pack,Talking Tables Confetti Ballons Gold,0.5489625480177228
Aromatherapy Car Air Freshener Unicorn,Tesco Carded Fresh Linen Air Freshener,0.5487855446395914
Aromatherapy Ventis Bottle Cherry Air Freshener,Tesco Carded Ocean Air Freshener,0.5480207870981568
Talking Tables Confetti Ballons Gold,Tesco Blue Balloons 15Pk,0.5475360046277485
Talking Tables Confetti Ballons Gold,Tesco Pink Balloons 15Pk,0.5469580504681428
Tesco Age 21 Balloons 6 Pack,Talking Tables Confetti Ballons Gold,0.5464222356844683
Talking Tables Confetti Ballons Gold,Tesco Silver Balloons 10 Pack,0.5462634667821573
Command Matte Hook,Command Clear Utensil Hooks 3 Hook 4 Strips,0.5441816730957281
Tesco Neon Balloons 10 Pack,Talking Tables Confetti Ballons Gold,0.543950967668682
Talking Tables Confetti Ballons Pastel,Blue Balloon Arch 60 Balloons,0.5428905246093432
Talking Tables Confetti Ballons Gold,Tesco Happy B Day Balloons Pink 10 Pack,0.5420921797146564
Talking Tables Confetti Ballons Gold,Tesco Purple Balloons 15Pk,0.5414581491407947
Command Coat Hanger Assorted,Command Clear Utensil Hooks 3 Hook 4 Strips,0.5406924073297819
Talking Tables Confetti Ballons Pastel,Tesco Blue Balloons 15Pk,0.539454873050448
Talking Tables Confetti Ballons Pastel,Tesco Pink Balloons 15Pk,0.538885448966618
Talking Tables Confetti Ballons Gold,Tesco Pearlised Black Balloons 10 Pack,0.5383423929873326
Talking Tables Confetti Ballons Gold,Tesco Birthday Girl Balloons 10 Pack,0.5357617721957907
Talking Tables Confetti Ballons Pastel,Tesco Purple Balloons 15Pk,0.5334667211619475
Command Picture Hanging Small Value Pack 12 Sets,Command Clear Utensil Hooks 3 Hook 4 Strips,0.5324033640004158
Talking Tables Confetti Ballons Pastel,Tesco Pearlised Black Balloons 10 Pack,0.530396950724906
Talking Tables Confetti Ballons Pastel,Pink Balloon Arch 60 Balloons,0.529018273810071
Simoniz Microfibre Drying Cloth,Simoniz Microfibre Wash Mitt,0.5282756214193641
